,STATION,LINENAME,WEEKDAY,TIME,dEXITS,dENTRIES,Station_Latitude,Station_Longitude
0,LEXINGTON AVE,456NQR,0,00:00:00,481.0,1187.076923076923,40.76266,-73.967258
1,LEXINGTON AVE,456NQR,0,04:00:00,266.1458333333333,182.41666666666666,40.76266,-73.967258
2,LEXINGTON AVE,456NQR,0,08:00:00,2595.304347826087,1497.5869565217392,40.76266,-73.967258
3,LEXINGTON AVE,456NQR,0,12:00:00,2964.75,2747.875,40.76266,-73.967258
4,LEXINGTON AVE,456NQR,0,16:00:00,1835.862745098039,4587.196078431372,40.76266,-73.967258
5,LEXINGTON AVE,456NQR,0,20:00:00,1811.6153846153845,5737.692307692308,40.76266,-73.967258
6,LEXINGTON AVE,456NQR,1,00:00:00,529.0196078431372,1728.2115384615386,40.76266,-73.967258
7,LEXINGTON AVE,456NQR,1,04:00:00,305.6136363636364,202.8181818181818,40.76266,-73.967258
8,LEXINGTON AVE,456NQR,1,08:00:00,2941.214285714286,1780.5714285714287,40.76266,-73.967258
9,LEXINGTON AVE,456NQR,1,12:00:00,3115.16,2881.88,40.76266,-73.967258
10,LEXINGTON AVE,456NQR,1,16:00:00,1873.6923076923076,4668.807692307692,40.76266,-73.967258
11,LEXINGTON AVE,456NQR,1,20:00:00,1975.313725490196,6289.882352941177,40.76266,-73.967258
12,LEXINGTON AVE,456NQR,2,00:00:00,593.7450980392157,1912.6666666666667,40.76266,-73.967258
13,LEXINGTON AVE,456NQR,2,04:00:00,344.0980392156863,305.9019607843137,40.76266,-73.967258
14,LEXINGTON AVE,456NQR,2,08:00:00,2767.1458333333335,1644.2916666666667,40.76266,-73.967258
15,LEXINGTON AVE,456NQR,2,12:00:00,3342.938775510204,3067.2244897959185,40.76266,-73.967258
16,LEXINGTON AVE,456NQR,2,16:00:00,1901.64,4777.44,40.76266,-73.967258
17,LEXINGTON AVE,456NQR,2,20:00:00,1949.3461538461538,6246.807692307692,40.76266,-73.967258
18,LEXINGTON AVE,456NQR,3,00:00:00,630.0384615384615,2001.3846153846155,40.76266,-73.967258
19,LEXINGTON AVE,456NQR,3,04:00:00,261.3541666666667,230.72916666666666,40.76266,-73.967258
