,STATION,LINENAME,WEEKDAY,TIME,dEXITS,dENTRIES,Station_Latitude,Station_Longitude
0,LEXINGTON AVE,456NQR,0,00:00:00,587.0,1533.5,40.76266,-73.967258
1,LEXINGTON AVE,456NQR,0,04:00:00,83.0,168.5,40.76266,-73.967258
2,LEXINGTON AVE,456NQR,0,08:00:00,1890.5,852.5,40.76266,-73.967258
3,LEXINGTON AVE,456NQR,0,12:00:00,3575.5,2880.5,40.76266,-73.967258
4,LEXINGTON AVE,456NQR,0,16:00:00,1596.0,3159.0,40.76266,-73.967258
5,LEXINGTON AVE,456NQR,0,20:00:00,2139.5,7042.5,40.76266,-73.967258
6,LEXINGTON AVE,456NQR,1,00:00:00,700.0,2235.0,40.76266,-73.967258
7,LEXINGTON AVE,456NQR,1,04:00:00,78.5,197.0,40.76266,-73.967258
8,LEXINGTON AVE,456NQR,1,08:00:00,2026.5,923.0,40.76266,-73.967258
9,LEXINGTON AVE,456NQR,1,12:00:00,3822.5,3101.5,40.76266,-73.967258
10,LEXINGTON AVE,456NQR,1,16:00:00,1677.5,3253.0,40.76266,-73.967258
11,LEXINGTON AVE,456NQR,1,20:00:00,2265.0,7472.0,40.76266,-73.967258
12,LEXINGTON AVE,456NQR,2,00:00:00,761.0,2490.0,40.76266,-73.967258
13,LEXINGTON AVE,456NQR,2,04:00:00,86.0,226.0,40.76266,-73.967258
14,LEXINGTON AVE,456NQR,2,08:00:00,1961.0,913.0,40.76266,-73.967258
15,LEXINGTON AVE,456NQR,2,12:00:00,3939.0,3192.0,40.76266,-73.967258
16,LEXINGTON AVE,456NQR,2,16:00:00,1716.0,3383.5,40.76266,-73.967258
17,LEXINGTON AVE,456NQR,2,20:00:00,2242.0,7666.0,40.76266,-73.967258
18,LEXINGTON AVE,456NQR,3,00:00:00,809.5,2620.5,40.76266,-73.967258
19,LEXINGTON AVE,456NQR,3,04:00:00,89.5,243.0,40.76266,-73.967258
20,LEXINGTON AVE,456NQR,3,08:00:00,1964.0,869.0,40.76266,-73.967258
21,LEXINGTON AVE,456NQR,3,12:00:00,3832.5,3179.0,40.76266,-73.967258
22,LEXINGTON AVE,456NQR,3,16:00:00,1765.0,3416.0,40.76266,-73.967258
23,LEXINGTON AVE,456NQR,3,20:00:00,2234.5,7625.5,40.76266,-73.967258
24,LEXINGTON AVE,456NQR,4,00:00:00,824.5,2747.0,40.76266,-73.967258
25,LEXINGTON AVE,456NQR,4,04:00:00,112.0,257.0,40.76266,-73.967258
26,LEXINGTON AVE,456NQR,4,08:00:00,1905.0,832.0,40.76266,-73.967258
27,LEXINGTON AVE,456NQR,4,12:00:00,3617.5,2960.0,40.76266,-73.967258
28,LEXINGTON AVE,456NQR,4,16:00:00,1850.0,3696.5,40.76266,-73.967258
29,LEXINGTON AVE,456NQR,4,20:00:00,1979.5,7046.5,40.76266,-73.967258
30,LEXINGTON AVE,456NQR,5,00:00:00,770.0,2624.0,40.76266,-73.967258
31,LEXINGTON AVE,456NQR,5,04:00:00,175.5,367.0,40.76266,-73.967258
32,LEXINGTON AVE,456NQR,5,08:00:00,522.0,281.5,40.76266,-73.967258
33,LEXINGTON AVE,456NQR,5,12:00:00,1569.5,1597.0,40.76266,-73.967258
34,LEXINGTON AVE,456NQR,5,16:00:00,1602.0,2968.0,40.76266,-73.967258
35,LEXINGTON AVE,456NQR,5,20:00:00,1269.0,3214.0,40.76266,-73.967258
36,LEXINGTON AVE,456NQR,6,00:00:00,733.0,1989.0,40.76266,-73.967258
37,LEXINGTON AVE,456NQR,6,04:00:00,160.0,375.0,40.76266,-73.967258
38,LEXINGTON AVE,456NQR,6,08:00:00,307.0,227.0,40.76266,-73.967258
39,LEXINGTON AVE,456NQR,6,12:00:00,1200.0,1383.0,40.76266,-73.967258
40,LEXINGTON AVE,456NQR,6,16:00:00,1380.0,2417.5,40.76266,-73.967258
41,LEXINGTON AVE,456NQR,6,20:00:00,1155.0,2452.0,40.76266,-73.967258
42,LEXINGTON AVE,F,0,00:00:00,290.5,403.0,40.764627000000004,-73.96611
43,LEXINGTON AVE,F,0,04:00:00,110.0,118.0,40.764627000000004,-73.96611
44,LEXINGTON AVE,F,0,08:00:00,1557.0,554.0,40.764627000000004,-73.96611
45,LEXINGTON AVE,F,0,12:00:00,2263.0,1815.0,40.764627000000004,-73.96611
46,LEXINGTON AVE,F,0,16:00:00,1422.0,2064.5,40.764627000000004,-73.96611
47,LEXINGTON AVE,F,0,20:00:00,1499.5,3539.5,40.764627000000004,-73.96611
48,LEXINGTON AVE,F,1,00:00:00,433.5,1038.0,40.764627000000004,-73.96611
49,LEXINGTON AVE,F,1,04:00:00,113.5,180.5,40.764627000000004,-73.96611
50,LEXINGTON AVE,F,1,08:00:00,1569.0,563.0,40.764627000000004,-73.96611
51,LEXINGTON AVE,F,1,12:00:00,2413.5,1908.0,40.764627000000004,-73.96611
52,LEXINGTON AVE,F,1,16:00:00,1476.0,2150.0,40.764627000000004,-73.96611
53,LEXINGTON AVE,F,1,20:00:00,1724.0,3848.0,40.764627000000004,-73.96611
54,LEXINGTON AVE,F,2,00:00:00,491.0,1147.5,40.764627000000004,-73.96611
55,LEXINGTON AVE,F,2,04:00:00,121.0,197.0,40.764627000000004,-73.96611
56,LEXINGTON AVE,F,2,08:00:00,1633.0,582.0,40.764627000000004,-73.96611
57,LEXINGTON AVE,F,2,12:00:00,2474.5,1929.0,40.764627000000004,-73.96611
58,LEXINGTON AVE,F,2,16:00:00,1479.5,2054.5,40.764627000000004,-73.96611
59,LEXINGTON AVE,F,2,20:00:00,1739.5,3825.0,40.764627000000004,-73.96611
60,LEXINGTON AVE,F,3,00:00:00,512.0,1166.5,40.764627000000004,-73.96611
61,LEXINGTON AVE,F,3,04:00:00,115.5,193.0,40.764627000000004,-73.96611
62,LEXINGTON AVE,F,3,08:00:00,1592.0,581.0,40.764627000000004,-73.96611
63,LEXINGTON AVE,F,3,12:00:00,2457.0,1925.0,40.764627000000004,-73.96611
64,LEXINGTON AVE,F,3,16:00:00,1518.0,2162.5,40.764627000000004,-73.96611
65,LEXINGTON AVE,F,3,20:00:00,1662.0,3929.0,40.764627000000004,-73.96611
66,LEXINGTON AVE,F,4,00:00:00,511.5,1200.0,40.764627000000004,-73.96611
67,LEXINGTON AVE,F,4,04:00:00,136.0,197.0,40.764627000000004,-73.96611
68,LEXINGTON AVE,F,4,08:00:00,1473.0,543.0,40.764627000000004,-73.96611
69,LEXINGTON AVE,F,4,12:00:00,2399.0,1792.0,40.764627000000004,-73.96611
70,LEXINGTON AVE,F,4,16:00:00,1508.0,2375.0,40.764627000000004,-73.96611
71,LEXINGTON AVE,F,4,20:00:00,1583.5,3320.5,40.764627000000004,-73.96611
72,LEXINGTON AVE,F,5,00:00:00,490.0,934.0,40.764627000000004,-73.96611
73,LEXINGTON AVE,F,5,04:00:00,165.0,143.0,40.764627000000004,-73.96611
74,LEXINGTON AVE,F,5,08:00:00,430.0,189.0,40.764627000000004,-73.96611
